event,eventLabel,year,countryLabel
http://www.wikidata.org/entity/Q8628,War in the Vendée,1793,French First Republic
http://www.wikidata.org/entity/Q6429210,Kongo Civil War,1600,Kingdom of Kongo
http://www.wikidata.org/entity/Q4553413,Tripolitanian civil war,1790,
http://www.wikidata.org/entity/Q56308540,Western Georgian civil war,1623,Principality of Mingrelia
http://www.wikidata.org/entity/Q2494496,Lithuanian Civil War of 1700,1697,Grand Duchy of Lithuania
http://www.wikidata.org/entity/Q9377279,Civil War in Poland,1704,
http://www.wikidata.org/entity/Q16473092,Peruvian Civil War of 1834,1834,Peru
http://www.wikidata.org/entity/Q189508,Glorious Revolution,1688,Kingdom of England
http://www.wikidata.org/entity/Q2697981,Argentine Civil Wars,1814,Argentina
http://www.wikidata.org/entity/Q48785102,Jacobite rising of 1689,1689,
http://www.wikidata.org/entity/Q5671681,War between Artigas and the Directory,1814,
http://www.wikidata.org/entity/Q5601911,Greek civil wars of 1823–1825,1823,First Hellenic Republic
http://www.wikidata.org/entity/Q1248576,Affair of the Poisons,1679,Kingdom of France
http://www.wikidata.org/entity/Q3029948,Patuleia,1846,Portugal
http://www.wikidata.org/entity/Q688297,Sonderbund War,1847,Switzerland
