event,eventLabel,year,countryLabel
http://www.wikidata.org/entity/Q153325,Aktion Erntefest,1943,Nazi Germany
http://www.wikidata.org/entity/Q162357,Battle of Smolensk,1941,Soviet Union
http://www.wikidata.org/entity/Q130861,Battle of Kursk,1943,Soviet Union
http://www.wikidata.org/entity/Q192660,Battle of Okinawa,1945,Empire of Japan
http://www.wikidata.org/entity/Q243640,Second Battle of Sabine Pass,1863,United States
http://www.wikidata.org/entity/Q155995,Operation Spring Awakening,1945,Kingdom of Hungary
http://www.wikidata.org/entity/Q149560,Battle of Stallupönen,1914,Russia
http://www.wikidata.org/entity/Q177283,Altmark Incident,1940,Norway
http://www.wikidata.org/entity/Q195118,Battle of Old Church,1864,United States
http://www.wikidata.org/entity/Q221469,First Battle of Bull Run,1861,United States
http://www.wikidata.org/entity/Q151290,Battle of Moscow,1941,Soviet Union
http://www.wikidata.org/entity/Q76914,Battle of Cepeda,1859,Argentina
http://www.wikidata.org/entity/Q167002,Operation Greif,1944,Belgium
http://www.wikidata.org/entity/Q250747,Race to the Sea,1914,France
http://www.wikidata.org/entity/Q154942,Battle of Königgrätz,1866,Austria–Hungary
http://www.wikidata.org/entity/Q129864,Indian Mutiny of 1857,1857,India
