id,label,year,country,tag,source_file
Q65206550,Fundació Fiella,1700,Spain,empire,Treaties.csv
Q704762,Battle of Klissow,1702,Poland,war,WarsRecord.csv
Q688978,Battle of Cremona,1702,Italy,war,WarsRecord.csv
Q700316,Battle of Luzzara,1702,Italy,war,WarsRecord.csv
Q694883,Battle of Erastfer,1702,Estonia,war,WarsRecord.csv
Q682729,First Battle of Höchstädt,1703,Germany,war,WarsRecord.csv
Q696945,Battle of Schellenberg,1704,Germany,war,WarsRecord.csv
Q9377279,Civil War in Poland,1704,,revolution,Coups.csv
Q704567,Battle of Gemauerthof,1705,Latvia,war,WarsRecord.csv
Q693282,Siege of Turin,1706,Italy,war,WarsRecord.csv
Q694068,Battle of Fraustadt,1706,Poland,war,WarsRecord.csv
Q698166,Battle of Calcinato,1706,Italy,war,WarsRecord.csv
Q701808,Battle of Castiglione,1706,Italy,war,WarsRecord.csv
Q697267,Battle of Almenar,1710,Spain,war,WarsRecord.csv
Q705409,Battle of Helsingborg,1710,Sweden,war,WarsRecord.csv
Q690096,Toggenburg War,1712,Old Swiss Confederacy,revolution,Coups.csv
Q694122,Battle of Napue,1714,Sweden,war,WarsRecord.csv
Q690391,Battle of Petrovaradin,1716,Serbia,war,WarsRecord.csv
Q620761,Appeal War,1724,,revolution,Coups.csv
Q1302457,Siamese Civil War of 1733,1733,Siam,revolution,Coups.csv
Q663435,Battle of Mollwitz,1741,Poland,war,WarsRecord.csv
Q688448,Battle of Hohenfriedberg,1745,Poland,war,WarsRecord.csv
Q657406,Battle of Hennersdorf,1745,Poland,war,WarsRecord.csv
Q1049945,Jacobite rising of 1745,1745,,revolution,Coups.csv
Q696699,Battle of Lauffeld,1747,Belgium,war,WarsRecord.csv
Q693265,Battle of Assietta,1747,Italy,war,WarsRecord.csv
Q60742221,Choctaw Civil War,1747,,revolution,Coups.csv
Q695485,Battle of Jumonville Glen,1754,Thirteen Colonies,war,WarsRecord.csv
Q62024627,Fundatie van Renswoude,1754,Netherlands,empire,Treaties.csv
Q135885527,Corsican Civil War,1755,Corsican Republic,revolution,Coups.csv
Q696689,Battle of Gross-Jägersdorf,1757,Russia,war,WarsRecord.csv
Q695312,Battle of Breslau,1757,Poland,war,WarsRecord.csv
Q677959,Battle of Hastenbeck,1757,Germany,war,WarsRecord.csv
Q694061,Battle of Reichenberg,1757,Kingdom of Bohemia,war,WarsRecord.csv
Q656522,Battle of Condore,1758,France,war,WarsRecord.csv
Q697897,Battle of Carillon,1758,Thirteen Colonies,war,WarsRecord.csv
Q663405,Battle of Zorndorf,1758,Poland,war,WarsRecord.csv
Q663450,Battle of Krefeld,1758,Germany,war,WarsRecord.csv
Q663574,Battle of Ticonderoga,1759,Thirteen Colonies,war,WarsRecord.csv
